game_id,date,home_team,away_team,home_score,away_score,home_hits,away_hits,home_errors,away_errors,status,game_time,day_or_night,stadium,home_plate_umpire,inning_1_away,inning_1_home,inning_2_away,inning_2_home,inning_3_away,inning_3_home,inning_4_away,inning_4_home,inning_5_away,inning_5_home,inning_6_away,inning_6_home,inning_7_away,inning_7_home,inning_8_away,inning_8_home,inning_9_away,inning_9_home,inning_10_away,inning_10_home,inning_11_away,inning_11_home,inning_12_away,inning_12_home,inning_13_away,inning_13_home,inning_14_away,inning_14_home
747060,28/03/2024,Baltimore Orioles,Los Angeles Angels,11,3,10,2,1,1,Final,28/03/2024 15:05,Dia,Oriole Park at Camden Yards,Adrian Johnson,1,2,0,3,0,0,0,2,0,0,0,1,0,3,2,0,0,,,,,,,,,,,
746737,28/03/2024,Cincinnati Reds,Washington Nationals,8,2,10,6,1,0,Final,28/03/2024 16:10,Dia,Great American Ball Park,Dan Iassogna,0,0,0,3,0,4,0,0,0,0,0,0,2,0,0,1,0,,,,,,,,,,,
745445,28/03/2024,San Diego Padres,San Francisco Giants,6,4,9,9,0,1,Final,28/03/2024 16:10,Dia,Petco Park,Mark Ripperger,0,0,0,0,1,0,0,0,0,2,0,0,2,4,0,0,1,,,,,,,,,,,
746165,28/03/2024,Los Angeles Dodgers,St. Louis Cardinals,7,1,10,3,1,0,Final,28/03/2024 16:10,Dia,Dodger Stadium,Alan Porter,0,2,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,
745116,28/03/2024,Tampa Bay Rays,Toronto Blue Jays,2,8,8,7,0,0,Final,28/03/2024 16:10,Dia,Tropicana Field,Todd Tichenor,0,1,0,0,0,0,1,0,0,0,5,1,2,0,0,0,0,0,,,,,,,,,,
746335,28/03/2024,Kansas City Royals,Minnesota Twins,1,4,5,10,1,0,Final,28/03/2024 16:10,Dia,Kauffman Stadium,Laz Diaz,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,
746821,28/03/2024,Chicago White Sox,Detroit Tigers,0,1,3,6,0,0,Final,28/03/2024 16:10,Dia,Guaranteed Rate Field,Brian O'Nora,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
746089,28/03/2024,Miami Marlins,Pittsburgh Pirates,5,6,8,9,1,1,Final,28/03/2024 16:10,Dia,loanDepot park,Chris Guccione,0,0,0,2,2,2,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,,,,
746418,28/03/2024,Houston Astros,New York Yankees,4,5,13,8,0,0,Final,28/03/2024 16:10,Dia,Minute Maid Park,James Hoye,0,3,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,,,,,,,,,,
745039,28/03/2024,Texas Rangers,Chicago Cubs,4,3,8,6,1,1,Final,28/03/2024 19:35,Noche,Globe Life Field,Chad Fairchild,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,,,,,,,,
745687,28/03/2024,Oakland Athletics,Cleveland Guardians,0,8,4,11,1,1,Final,28/03/2024 22:07,Noche,Oakland Coliseum,Marvin Hudson,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,
747224,28/03/2024,Arizona Diamondbacks,Colorado Rockies,16,1,18,4,0,0,Final,28/03/2024 22:10,Noche,Chase Field,Dan Bellino,0,2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
745283,28/03/2024,Seattle Mariners,Boston Red Sox,4,6,8,11,1,0,Final,28/03/2024 22:10,Noche,T-Mobile Park,Larry Vanover,0,0,0,0,2,0,1,2,1,0,1,0,0,2,1,0,0,0,,,,,,,,,,
745848,28/03/2024,New York Mets,Milwaukee Brewers,1,3,1,8,0,0,Final,29/03/2024 13:40,Dia,Citi Field,Alfonso Márquez,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,
745604,28/03/2024,Philadelphia Phillies,Atlanta Braves,3,9,5,13,1,0,Final,29/03/2024 15:05,Dia,Citizens Bank Park,Mark Wegner,0,0,0,0,0,0,0,0,0,2,0,0,2,0,7,0,0,1,,,,,,,,,,
745848,29/03/2024,New York Mets,Milwaukee Brewers,1,3,1,8,0,0,Final,29/03/2024 13:40,Dia,Citi Field,Alfonso Márquez,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,
745604,29/03/2024,Philadelphia Phillies,Atlanta Braves,3,9,5,13,1,0,Final,29/03/2024 15:05,Dia,Citizens Bank Park,Mark Wegner,0,0,0,0,0,0,0,0,0,2,0,0,2,0,7,0,0,1,,,,,,,,,,
745117,29/03/2024,Tampa Bay Rays,Toronto Blue Jays,8,2,10,6,1,3,Final,29/03/2024 18:50,Noche,Tropicana Field,Cory Blaser,0,0,0,0,1,4,0,0,0,1,0,1,0,0,0,2,1,,,,,,,,,,,
746091,29/03/2024,Miami Marlins,Pittsburgh Pirates,2,7,9,10,0,2,Final,29/03/2024 19:10,Noche,loanDepot park,Brian Knight,0,0,2,0,2,1,0,0,0,0,1,0,1,0,1,0,0,1,,,,,,,,,,
746412,29/03/2024,Houston Astros,New York Yankees,1,7,7,12,2,0,Final,29/03/2024 20:10,Noche,Minute Maid Park,Rob Drake,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,,,,,,,,,,
747223,29/03/2024,Arizona Diamondbacks,Colorado Rockies,7,3,14,7,0,1,Final,29/03/2024 21:40,Noche,Chase Field,Phil Cuzzi,0,2,1,0,0,1,0,0,0,0,0,4,0,0,2,0,0,,,,,,,,,,,
745682,29/03/2024,Oakland Athletics,Cleveland Guardians,4,6,8,9,2,0,Final,29/03/2024 21:40,Noche,Oakland Coliseum,Hunter Wendelstedt,3,0,0,0,0,0,0,1,2,1,0,1,1,0,0,1,0,0,,,,,,,,,,
